jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-2.96733600e+02
2.00000000e-02,-2.96189100e+02
4.00000000e-02,-2.95624900e+02
6.00000000e-02,-2.95038300e+02
8.00000000e-02,-2.94427000e+02
1.00000000e-01,-2.93787100e+02
1.20000000e-01,-2.93114200e+02
1.40000000e-01,-2.92402700e+02
1.60000000e-01,-2.91643600e+02
1.80000000e-01,-2.90825300e+02
2.00000000e-01,-2.89930600e+02
2.20000000e-01,-2.88934500e+02
2.40000000e-01,-2.87807100e+02
2.60000000e-01,-2.86508500e+02
2.80000000e-01,-2.84979700e+02
3.00000000e-01,-2.83112600e+02
3.20000000e-01,-2.80687200e+02
3.40000000e-01,-2.77247900e+02
3.60000000e-01,-2.71892700e+02
3.80000000e-01,-2.62994200e+02
4.00000000e-01,-2.48065200e+02
4.20000000e-01,-2.24247000e+02
4.40000000e-01,-1.89490500e+02
4.60000000e-01,-1.43247500e+02
4.80000000e-01,-8.56208300e+01
5.00000000e-01,-1.57604400e+01
5.20000000e-01,6.92014400e+01
5.40000000e-01,1.74129300e+02
5.60000000e-01,3.04669100e+02
5.80000000e-01,4.65115000e+02
6.00000000e-01,6.56383900e+02
6.20000000e-01,8.75393800e+02
6.40000000e-01,1.11606400e+03
6.60000000e-01,1.37102300e+03
6.80000000e-01,1.63334600e+03
7.00000000e-01,1.89805000e+03
7.20000000e-01,2.16299600e+03
7.40000000e-01,2.42885700e+03
7.60000000e-01,2.69834600e+03
7.80000000e-01,2.97528200e+03
8.00000000e-01,3.26391900e+03
8.20000000e-01,3.56867300e+03
8.40000000e-01,3.89412000e+03
8.60000000e-01,4.24513500e+03
8.80000000e-01,4.62706300e+03
9.00000000e-01,5.04586400e+03
9.20000000e-01,5.50821600e+03
9.40000000e-01,6.02157900e+03
9.60000000e-01,6.59423500e+03
9.80000000e-01,7.23534000e+03
1.00000000e+00,7.95498200e+03
1.02000000e+00,8.76427400e+03
1.04000000e+00,9.67546700e+03
1.06000000e+00,1.07020700e+04
1.08000000e+00,1.18589600e+04
1.10000000e+00,1.31624900e+04
1.12000000e+00,1.46305500e+04
1.14000000e+00,1.62825600e+04
1.16000000e+00,1.81394500e+04
1.18000000e+00,2.02235200e+04
