iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,3.21404800e-19
2.00000000e-02,4.54988700e-19
4.00000000e-02,-5.23255200e-19
6.00000000e-02,1.27263300e-18
8.00000000e-02,1.61258800e-18
1.00000000e-01,-1.61988800e-19
1.20000000e-01,1.69814400e-18
1.40000000e-01,7.42323700e-19
1.60000000e-01,2.70204600e-18
1.80000000e-01,5.90431600e-18
2.00000000e-01,1.47066300e-17
2.20000000e-01,2.59804600e-17
2.40000000e-01,5.58737500e-17
2.60000000e-01,1.20140900e-16
2.80000000e-01,2.53882000e-16
3.00000000e-01,5.42330000e-16
3.20000000e-01,1.15708300e-15
3.40000000e-01,2.45817600e-15
3.60000000e-01,5.22052400e-15
3.80000000e-01,1.10615000e-14
4.00000000e-01,2.33293700e-14
4.20000000e-01,4.89835300e-14
4.40000000e-01,1.02423400e-13
4.60000000e-01,2.13925600e-13
4.80000000e-01,4.48070700e-13
5.00000000e-01,9.43589300e-13
5.20000000e-01,1.99869200e-12
5.40000000e-01,4.25319100e-12
5.60000000e-01,9.07757200e-12
5.80000000e-01,1.94038700e-11
6.00000000e-01,4.14984000e-11
6.20000000e-01,8.87393500e-11
6.40000000e-01,1.89654400e-10
6.60000000e-01,4.04983100e-10
6.80000000e-01,8.63758800e-10
7.00000000e-01,1.83910900e-09
7.20000000e-01,3.90575100e-09
7.40000000e-01,8.26074300e-09
7.60000000e-01,1.73521200e-08
