charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.93101900e+21
2.00000000e-02,6.05758100e+21
4.00000000e-02,6.18962300e+21
6.00000000e-02,6.32748500e+21
8.00000000e-02,6.47155200e+21
1.00000000e-01,6.62226200e+21
1.20000000e-01,6.78012300e+21
1.40000000e-01,6.94572900e+21
1.60000000e-01,7.11978500e+21
1.80000000e-01,7.30315100e+21
2.00000000e-01,7.49689800e+21
2.20000000e-01,7.70239900e+21
2.40000000e-01,7.92147700e+21
2.60000000e-01,8.15664600e+21
2.80000000e-01,8.41150400e+21
3.00000000e-01,8.69140000e+21
3.20000000e-01,9.00453300e+21
3.40000000e-01,9.36371800e+21
3.60000000e-01,9.78913200e+21
3.80000000e-01,1.03122600e+22
4.00000000e-01,1.09810800e+22
4.20000000e-01,1.18662100e+22
4.40000000e-01,1.30668900e+22
4.60000000e-01,1.47147000e+22
4.80000000e-01,1.69701500e+22
5.00000000e-01,2.00063600e+22
5.20000000e-01,2.39779300e+22
5.40000000e-01,2.89846400e+22
5.60000000e-01,3.50491300e+22
5.80000000e-01,4.21214200e+22
6.00000000e-01,5.01039700e+22
6.20000000e-01,5.88804700e+22
6.40000000e-01,6.83364900e+22
6.60000000e-01,7.83704700e+22
6.80000000e-01,8.88986600e+22
7.00000000e-01,9.98566300e+22
7.20000000e-01,1.11198000e+23
7.40000000e-01,1.22891400e+23
7.60000000e-01,1.34916500e+23
