charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.93102000e+21
2.00000000e-02,6.05758200e+21
4.00000000e-02,6.18962400e+21
6.00000000e-02,6.32748600e+21
8.00000000e-02,6.47155300e+21
1.00000000e-01,6.62226300e+21
1.20000000e-01,6.78012500e+21
1.40000000e-01,6.94573000e+21
1.60000000e-01,7.11978600e+21
1.80000000e-01,7.30315200e+21
2.00000000e-01,7.49689900e+21
2.20000000e-01,7.70240000e+21
2.40000000e-01,7.92147800e+21
2.60000000e-01,8.15664700e+21
2.80000000e-01,8.41150400e+21
3.00000000e-01,8.69140000e+21
3.20000000e-01,9.00453100e+21
3.40000000e-01,9.36371500e+21
3.60000000e-01,9.78912800e+21
3.80000000e-01,1.03122500e+22
4.00000000e-01,1.09810700e+22
4.20000000e-01,1.18661900e+22
4.40000000e-01,1.30668600e+22
4.60000000e-01,1.47146500e+22
4.80000000e-01,1.69700700e+22
5.00000000e-01,2.00062000e+22
5.20000000e-01,2.39776300e+22
5.40000000e-01,2.89840300e+22
5.60000000e-01,3.50479100e+22
5.80000000e-01,4.21189700e+22
6.00000000e-01,5.00991100e+22
6.20000000e-01,5.88709800e+22
6.40000000e-01,6.83183100e+22
6.60000000e-01,7.83365000e+22
6.80000000e-01,8.88367800e+22
7.00000000e-01,9.97465200e+22
7.20000000e-01,1.11005700e+23
7.40000000e-01,1.22560300e+23
