charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.94868800e+22
2.00000000e-02,4.88514300e+22
4.00000000e-02,4.85795800e+22
6.00000000e-02,4.82548800e+22
8.00000000e-02,4.78960600e+22
1.00000000e-01,4.75176700e+22
1.20000000e-01,4.71288000e+22
1.40000000e-01,4.67343700e+22
1.60000000e-01,4.63363600e+22
1.80000000e-01,4.59349000e+22
2.00000000e-01,4.55294100e+22
2.20000000e-01,4.51199500e+22
2.40000000e-01,4.47086100e+22
2.60000000e-01,4.43009600e+22
2.80000000e-01,4.39072900e+22
3.00000000e-01,4.35439700e+22
3.20000000e-01,4.32348100e+22
3.40000000e-01,4.30128300e+22
3.60000000e-01,4.29221900e+22
3.80000000e-01,4.30197000e+22
4.00000000e-01,4.33740200e+22
4.20000000e-01,4.40588100e+22
4.40000000e-01,4.51329800e+22
4.60000000e-01,4.66033500e+22
4.80000000e-01,4.83845600e+22
5.00000000e-01,5.03037600e+22
5.20000000e-01,5.21764000e+22
5.40000000e-01,5.38882300e+22
5.60000000e-01,5.54112900e+22
5.80000000e-01,5.67706100e+22
6.00000000e-01,5.80079600e+22
6.20000000e-01,5.91617300e+22
6.40000000e-01,6.02604300e+22
6.60000000e-01,6.13233900e+22
6.80000000e-01,6.23641600e+22
7.00000000e-01,6.33937600e+22
7.20000000e-01,6.44224200e+22
7.40000000e-01,6.54596300e+22
7.60000000e-01,6.65128600e+22
7.80000000e-01,6.75870700e+22
8.00000000e-01,6.86840500e+22
8.20000000e-01,6.98035400e+22
8.40000000e-01,7.09447800e+22
8.60000000e-01,7.21109700e+22
8.80000000e-01,7.33261100e+22
9.00000000e-01,7.46295300e+22
9.20000000e-01,7.58162700e+22
9.40000000e-01,7.69337400e+22
9.60000000e-01,7.80416100e+22
9.80000000e-01,7.91390500e+22
1.00000000e+00,8.02251000e+22
1.02000000e+00,8.12992000e+22
1.04000000e+00,8.23611800e+22
1.06000000e+00,8.34111600e+22
1.08000000e+00,8.44495500e+22
1.10000000e+00,8.54769100e+22
1.12000000e+00,8.64939100e+22
1.14000000e+00,8.75013200e+22
1.16000000e+00,8.84999400e+22
1.18000000e+00,8.94905900e+22
