charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.33032500e+22
2.00000000e-02,5.33985300e+22
4.00000000e-02,5.34983900e+22
6.00000000e-02,5.36003900e+22
8.00000000e-02,5.37019200e+22
1.00000000e-01,5.38005300e+22
1.20000000e-01,5.38947400e+22
1.40000000e-01,5.39845600e+22
1.60000000e-01,5.40715600e+22
1.80000000e-01,5.41585200e+22
2.00000000e-01,5.42490000e+22
2.20000000e-01,5.43469000e+22
2.40000000e-01,5.44563100e+22
2.60000000e-01,5.45811300e+22
2.80000000e-01,5.47250900e+22
3.00000000e-01,5.48914600e+22
3.20000000e-01,5.50830600e+22
3.40000000e-01,5.53023700e+22
3.60000000e-01,5.55523300e+22
3.80000000e-01,5.58378100e+22
4.00000000e-01,5.61673500e+22
4.20000000e-01,5.65545400e+22
4.40000000e-01,5.70180600e+22
4.60000000e-01,5.75798900e+22
4.80000000e-01,5.82616200e+22
5.00000000e-01,5.90802800e+22
5.20000000e-01,6.00455600e+22
5.40000000e-01,6.11595200e+22
5.60000000e-01,6.24183300e+22
5.80000000e-01,6.38146500e+22
6.00000000e-01,6.53398000e+22
6.20000000e-01,6.69852300e+22
6.40000000e-01,6.87435500e+22
6.60000000e-01,7.06093700e+22
6.80000000e-01,7.25800200e+22
7.00000000e-01,7.46565700e+22
7.20000000e-01,7.68451600e+22
7.40000000e-01,7.91589400e+22
7.60000000e-01,8.16213300e+22
7.80000000e-01,8.42708200e+22
8.00000000e-01,8.71641100e+22
8.20000000e-01,9.03646700e+22
8.40000000e-01,9.39011900e+22
8.60000000e-01,9.77047200e+22
8.80000000e-01,1.01579200e+23
