iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,-3.56857600e-12
2.00000000e-02,-3.47671400e-12
4.00000000e-02,-3.42279100e-12
6.00000000e-02,-3.36639400e-12
8.00000000e-02,-3.30782600e-12
1.00000000e-01,-3.24742900e-12
1.20000000e-01,-3.18552900e-12
1.40000000e-01,-3.12242700e-12
1.60000000e-01,-3.05834600e-12
1.80000000e-01,-2.99340400e-12
2.00000000e-01,-2.92768400e-12
2.20000000e-01,-2.86121000e-12
2.40000000e-01,-2.79409500e-12
2.60000000e-01,-2.72642100e-12
2.80000000e-01,-2.65837600e-12
3.00000000e-01,-2.59011700e-12
3.20000000e-01,-2.52169200e-12
3.40000000e-01,-2.45301300e-12
3.60000000e-01,-2.38361000e-12
3.80000000e-01,-2.31258300e-12
4.00000000e-01,-2.23836800e-12
4.20000000e-01,-2.15841700e-12
4.40000000e-01,-2.06871400e-12
4.60000000e-01,-1.96257400e-12
4.80000000e-01,-1.82856100e-12
5.00000000e-01,-1.64567600e-12
5.20000000e-01,-1.37454900e-12
5.40000000e-01,-9.39847400e-13
5.60000000e-01,-1.97433500e-13
5.80000000e-01,1.13003100e-12
6.00000000e-01,3.57839800e-12
6.20000000e-01,8.18932200e-12
6.40000000e-01,1.69992800e-11
6.60000000e-01,3.40113500e-11
6.80000000e-01,6.71328300e-11
7.00000000e-01,1.32045400e-10
7.20000000e-01,2.59929300e-10
7.40000000e-01,5.12795300e-10
7.60000000e-01,1.01346600e-09
7.80000000e-01,2.00228200e-09
8.00000000e-01,3.93704900e-09
8.20000000e-01,7.64442200e-09
8.40000000e-01,1.44760900e-08
8.60000000e-01,2.62882900e-08
