jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.48773700e+02
2.00000000e-02,-1.47317400e+02
4.00000000e-02,-1.45820500e+02
6.00000000e-02,-1.44287000e+02
8.00000000e-02,-1.42720600e+02
1.00000000e-01,-1.41125000e+02
1.20000000e-01,-1.39502200e+02
1.40000000e-01,-1.37851200e+02
1.60000000e-01,-1.36170300e+02
1.80000000e-01,-1.34456400e+02
2.00000000e-01,-1.32703700e+02
2.20000000e-01,-1.30906100e+02
2.40000000e-01,-1.29058100e+02
2.60000000e-01,-1.27155500e+02
2.80000000e-01,-1.25190900e+02
3.00000000e-01,-1.23159100e+02
3.20000000e-01,-1.21043900e+02
3.40000000e-01,-1.18822100e+02
3.60000000e-01,-1.16445700e+02
3.80000000e-01,-1.13839200e+02
4.00000000e-01,-1.10890800e+02
4.20000000e-01,-1.07446100e+02
4.40000000e-01,-1.03311100e+02
4.60000000e-01,-9.82453800e+01
4.80000000e-01,-9.18879000e+01
5.00000000e-01,-8.35809600e+01
5.20000000e-01,-7.19821200e+01
5.40000000e-01,-5.43870500e+01
5.60000000e-01,-2.54954900e+01
5.80000000e-01,2.49490000e+01
6.00000000e-01,1.16780000e+02
6.20000000e-01,2.88516900e+02
6.40000000e-01,6.15414000e+02
6.60000000e-01,1.24530100e+03
6.80000000e-01,2.46993300e+03
7.00000000e-01,4.86715600e+03
7.20000000e-01,9.58343700e+03
7.40000000e-01,1.88905800e+04
7.60000000e-01,3.72603600e+04
7.80000000e-01,7.33467400e+04
8.00000000e-01,1.43301200e+05
8.20000000e-01,2.75206500e+05
8.40000000e-01,5.11970500e+05
8.60000000e-01,9.06144700e+05
8.80000000e-01,1.50201000e+06
