iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,-3.71086900e-12
2.00000000e-02,-3.65820700e-12
4.00000000e-02,-3.61460800e-12
6.00000000e-02,-3.56837200e-12
8.00000000e-02,-3.51895600e-12
1.00000000e-01,-3.46574800e-12
1.20000000e-01,-3.40825100e-12
1.40000000e-01,-3.34609600e-12
1.60000000e-01,-3.27907200e-12
1.80000000e-01,-3.20728200e-12
2.00000000e-01,-3.13110600e-12
2.20000000e-01,-3.05124800e-12
2.40000000e-01,-2.96863200e-12
2.60000000e-01,-2.88429900e-12
2.80000000e-01,-2.79927900e-12
3.00000000e-01,-2.71447900e-12
3.20000000e-01,-2.63053300e-12
3.40000000e-01,-2.54771200e-12
3.60000000e-01,-2.46587200e-12
3.80000000e-01,-2.38416900e-12
4.00000000e-01,-2.30093900e-12
4.20000000e-01,-2.21337700e-12
4.40000000e-01,-2.11719700e-12
4.60000000e-01,-2.00593200e-12
4.80000000e-01,-1.86931200e-12
5.00000000e-01,-1.68942100e-12
5.20000000e-01,-1.43294900e-12
5.40000000e-01,-1.03623300e-12
5.60000000e-01,-3.77685900e-13
5.80000000e-01,7.75638900e-13
6.00000000e-01,2.87164000e-12
6.20000000e-01,6.77700200e-12
6.40000000e-01,1.41793000e-11
6.60000000e-01,2.83842800e-11
6.80000000e-01,5.59019400e-11
7.00000000e-01,1.09608000e-10
7.20000000e-01,2.15045400e-10
7.40000000e-01,4.22927100e-10
7.60000000e-01,8.33614000e-10
7.80000000e-01,1.64358700e-09
8.00000000e-01,3.22790800e-09
8.20000000e-01,6.26603100e-09
8.40000000e-01,1.18709300e-08
8.60000000e-01,2.15625300e-08
8.80000000e-01,3.68520600e-08
