jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.48434800e+02
2.00000000e-02,-1.46328300e+02
4.00000000e-02,-1.44584300e+02
6.00000000e-02,-1.42734900e+02
8.00000000e-02,-1.40758200e+02
1.00000000e-01,-1.38629900e+02
1.20000000e-01,-1.36330100e+02
1.40000000e-01,-1.33843800e+02
1.60000000e-01,-1.31162900e+02
1.80000000e-01,-1.28291300e+02
2.00000000e-01,-1.25244200e+02
2.20000000e-01,-1.22049900e+02
2.40000000e-01,-1.18745300e+02
2.60000000e-01,-1.15372000e+02
2.80000000e-01,-1.11971100e+02
3.00000000e-01,-1.08579100e+02
3.20000000e-01,-1.05221300e+02
3.40000000e-01,-1.01908500e+02
3.60000000e-01,-9.86348600e+01
3.80000000e-01,-9.53667400e+01
4.00000000e-01,-9.20375600e+01
4.20000000e-01,-8.85350800e+01
4.40000000e-01,-8.46878700e+01
4.60000000e-01,-8.02372700e+01
4.80000000e-01,-7.47724800e+01
5.00000000e-01,-6.75768600e+01
5.20000000e-01,-5.73179700e+01
5.40000000e-01,-4.14493100e+01
5.60000000e-01,-1.51074400e+01
5.80000000e-01,3.10255600e+01
6.00000000e-01,1.14865600e+02
6.20000000e-01,2.71080100e+02
6.40000000e-01,5.67172100e+02
6.60000000e-01,1.13537100e+03
6.80000000e-01,2.23607800e+03
7.00000000e-01,4.38431800e+03
7.20000000e-01,8.60181500e+03
7.40000000e-01,1.69170800e+04
7.60000000e-01,3.33445600e+04
7.80000000e-01,6.57434700e+04
8.00000000e-01,1.29116300e+05
8.20000000e-01,2.50641300e+05
8.40000000e-01,4.74837300e+05
8.60000000e-01,8.62501200e+05
8.80000000e-01,1.47408200e+06
