jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.61605500e+02
2.00000000e-02,-1.61438800e+02
4.00000000e-02,-1.61253400e+02
6.00000000e-02,-1.61049400e+02
8.00000000e-02,-1.60821100e+02
1.00000000e-01,-1.60565900e+02
1.20000000e-01,-1.60278100e+02
1.40000000e-01,-1.59950300e+02
1.60000000e-01,-1.59577400e+02
1.80000000e-01,-1.59148500e+02
2.00000000e-01,-1.58651300e+02
2.20000000e-01,-1.58068600e+02
2.40000000e-01,-1.57374400e+02
2.60000000e-01,-1.56529400e+02
2.80000000e-01,-1.55470900e+02
3.00000000e-01,-1.54117400e+02
3.20000000e-01,-1.52341300e+02
3.40000000e-01,-1.49942400e+02
3.60000000e-01,-1.46607400e+02
3.80000000e-01,-1.41844400e+02
4.00000000e-01,-1.34981700e+02
4.20000000e-01,-1.25354600e+02
4.40000000e-01,-1.12743800e+02
4.60000000e-01,-9.77644300e+01
4.80000000e-01,-8.14776600e+01
5.00000000e-01,-6.41883500e+01
5.20000000e-01,-4.43335000e+01
5.40000000e-01,-1.77515000e+01
5.60000000e-01,2.35737700e+01
5.80000000e-01,9.45985000e+01
6.00000000e-01,2.23919000e+02
6.20000000e-01,4.67442100e+02
6.40000000e-01,9.36039200e+02
6.60000000e-01,1.85176800e+03
6.80000000e-01,3.66262900e+03
7.00000000e-01,7.27788200e+03
7.20000000e-01,1.45519300e+04
7.40000000e-01,2.92811100e+04
7.60000000e-01,5.92566100e+04
7.80000000e-01,1.20478400e+05
8.00000000e-01,2.45729800e+05
8.20000000e-01,5.01722800e+05
8.40000000e-01,1.02234800e+06
