charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,2.35469000e+22
2.00000000e-02,2.38763500e+22
4.00000000e-02,2.42174700e+22
6.00000000e-02,2.45706800e+22
8.00000000e-02,2.49364000e+22
1.00000000e-01,2.53150800e+22
1.20000000e-01,2.57072100e+22
1.40000000e-01,2.61133300e+22
1.60000000e-01,2.65340700e+22
1.80000000e-01,2.69701500e+22
2.00000000e-01,2.74224000e+22
2.20000000e-01,2.78916800e+22
2.40000000e-01,2.83787300e+22
2.60000000e-01,2.88840900e+22
2.80000000e-01,2.94081100e+22
3.00000000e-01,2.99516400e+22
3.20000000e-01,3.05176000e+22
3.40000000e-01,3.11133100e+22
3.60000000e-01,3.17532900e+22
3.80000000e-01,3.24623700e+22
4.00000000e-01,3.32796300e+22
4.20000000e-01,3.42641000e+22
4.40000000e-01,3.55021100e+22
4.60000000e-01,3.71142300e+22
4.80000000e-01,3.92559700e+22
5.00000000e-01,4.21050500e+22
5.20000000e-01,4.58317200e+22
5.40000000e-01,5.05606300e+22
5.60000000e-01,5.63433600e+22
5.80000000e-01,6.31567900e+22
6.00000000e-01,7.09239500e+22
6.20000000e-01,7.95421300e+22
6.40000000e-01,8.89053300e+22
6.60000000e-01,9.89177500e+22
6.80000000e-01,1.09500100e+23
7.00000000e-01,1.20592300e+23
7.20000000e-01,1.32154800e+23
7.40000000e-01,1.44171800e+23
7.60000000e-01,1.56659500e+23
7.80000000e-01,1.69682600e+23
8.00000000e-01,1.83380500e+23
8.20000000e-01,1.98006300e+23
8.40000000e-01,2.13975200e+23
