jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.78245600e+02
2.00000000e-02,-1.76472200e+02
4.00000000e-02,-1.74557200e+02
6.00000000e-02,-1.72479900e+02
8.00000000e-02,-1.70214500e+02
1.00000000e-01,-1.67720700e+02
1.20000000e-01,-1.64944500e+02
1.40000000e-01,-1.61810200e+02
1.60000000e-01,-1.58236400e+02
1.80000000e-01,-1.54163800e+02
2.00000000e-01,-1.49586400e+02
2.20000000e-01,-1.44572100e+02
2.40000000e-01,-1.39241800e+02
2.60000000e-01,-1.33739100e+02
2.80000000e-01,-1.28202800e+02
3.00000000e-01,-1.22738800e+02
3.20000000e-01,-1.17413800e+02
3.40000000e-01,-1.12245200e+02
3.60000000e-01,-1.07195300e+02
3.80000000e-01,-1.02159800e+02
4.00000000e-01,-9.69737700e+01
4.20000000e-01,-9.14129300e+01
4.40000000e-01,-8.52173000e+01
4.60000000e-01,-7.80855400e+01
4.80000000e-01,-6.95862400e+01
5.00000000e-01,-5.88959000e+01
5.20000000e-01,-4.42960600e+01
5.40000000e-01,-2.22913500e+01
5.60000000e-01,1.40113100e+01
5.80000000e-01,7.80852800e+01
6.00000000e-01,1.96422800e+02
6.20000000e-01,4.21582100e+02
6.40000000e-01,8.58742500e+02
6.60000000e-01,1.71987000e+03
6.80000000e-01,3.43448900e+03
7.00000000e-01,6.87648000e+03
7.20000000e-01,1.38274100e+04
7.40000000e-01,2.79158300e+04
7.60000000e-01,5.64856800e+04
7.80000000e-01,1.14159300e+05
8.00000000e-01,2.29039500e+05
8.20000000e-01,4.51487300e+05
8.40000000e-01,8.60856400e+05
8.60000000e-01,1.55752900e+06
