iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,-1.83050600e-12
2.00000000e-02,-1.80929300e-12
4.00000000e-02,-1.78693700e-12
6.00000000e-02,-1.76341100e-12
8.00000000e-02,-1.73871600e-12
1.00000000e-01,-1.71286100e-12
1.20000000e-01,-1.68585100e-12
1.40000000e-01,-1.65767200e-12
1.60000000e-01,-1.62827000e-12
1.80000000e-01,-1.59751500e-12
2.00000000e-01,-1.56517300e-12
2.20000000e-01,-1.53087300e-12
2.40000000e-01,-1.49419100e-12
2.60000000e-01,-1.45470000e-12
2.80000000e-01,-1.41207900e-12
3.00000000e-01,-1.36623400e-12
3.20000000e-01,-1.31736100e-12
3.40000000e-01,-1.26575300e-12
3.60000000e-01,-1.21149900e-12
3.80000000e-01,-1.15394800e-12
4.00000000e-01,-1.09133200e-12
4.20000000e-01,-1.02087000e-12
4.40000000e-01,-9.39343200e-13
4.60000000e-01,-8.44075100e-13
4.80000000e-01,-7.32315800e-13
5.00000000e-01,-5.97830600e-13
5.20000000e-01,-4.24391300e-13
5.40000000e-01,-1.75939600e-13
5.60000000e-01,2.20199800e-13
5.80000000e-01,9.06285400e-13
6.00000000e-01,2.16150200e-12
6.20000000e-01,4.53945000e-12
6.40000000e-01,9.14896700e-12
6.60000000e-01,1.82292900e-11
6.80000000e-01,3.63327700e-11
7.00000000e-01,7.27652800e-11
7.20000000e-01,1.46636600e-10
7.40000000e-01,2.97332500e-10
7.60000000e-01,6.06244100e-10
7.80000000e-01,1.24179800e-09
8.00000000e-01,2.55231200e-09
8.20000000e-01,5.25531900e-09
8.40000000e-01,1.08150300e-08
