charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.62948300e+22
2.00000000e-02,4.62180700e+22
4.00000000e-02,4.62507700e+22
6.00000000e-02,4.62786400e+22
8.00000000e-02,4.63018100e+22
1.00000000e-01,4.63207700e+22
1.20000000e-01,4.63365000e+22
1.40000000e-01,4.63501700e+22
1.60000000e-01,4.63630000e+22
1.80000000e-01,4.63763800e+22
2.00000000e-01,4.63921600e+22
2.20000000e-01,4.64130800e+22
2.40000000e-01,4.64430700e+22
2.60000000e-01,4.64875400e+22
2.80000000e-01,4.65536000e+22
3.00000000e-01,4.66505500e+22
3.20000000e-01,4.67907100e+22
3.40000000e-01,4.69911700e+22
3.60000000e-01,4.72764500e+22
3.80000000e-01,4.76826100e+22
4.00000000e-01,4.82624200e+22
4.20000000e-01,4.90908700e+22
4.40000000e-01,5.02697200e+22
4.60000000e-01,5.19287000e+22
4.80000000e-01,5.42195200e+22
5.00000000e-01,5.72979800e+22
5.20000000e-01,6.12950000e+22
5.40000000e-01,6.62876400e+22
5.60000000e-01,7.22855900e+22
5.80000000e-01,7.92396000e+22
6.00000000e-01,8.70634800e+22
6.20000000e-01,9.56568500e+22
6.40000000e-01,1.04921300e+23
6.60000000e-01,1.14768800e+23
6.80000000e-01,1.25125300e+23
7.00000000e-01,1.35930800e+23
7.20000000e-01,1.47137700e+23
7.40000000e-01,1.58709100e+23
7.60000000e-01,1.70616500e+23
7.80000000e-01,1.82831900e+23
8.00000000e-01,1.95305500e+23
8.20000000e-01,2.07914500e+23
8.40000000e-01,2.20393600e+23
8.60000000e-01,2.32321100e+23
