jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.77514600e+02
2.00000000e-02,-1.73231900e+02
4.00000000e-02,-1.70067600e+02
6.00000000e-02,-1.66743400e+02
8.00000000e-02,-1.63246200e+02
1.00000000e-01,-1.59572600e+02
1.20000000e-01,-1.55730000e+02
1.40000000e-01,-1.51733600e+02
1.60000000e-01,-1.47601500e+02
1.80000000e-01,-1.43350000e+02
2.00000000e-01,-1.38994800e+02
2.20000000e-01,-1.34544600e+02
2.40000000e-01,-1.30005400e+02
2.60000000e-01,-1.25380800e+02
2.80000000e-01,-1.20674100e+02
3.00000000e-01,-1.15887600e+02
3.20000000e-01,-1.11020500e+02
3.40000000e-01,-1.06062400e+02
3.60000000e-01,-1.00983400e+02
3.80000000e-01,-9.57292700e+01
4.00000000e-01,-9.02138200e+01
4.20000000e-01,-8.43214000e+01
4.40000000e-01,-7.79114400e+01
4.60000000e-01,-7.07976400e+01
4.80000000e-01,-6.26510800e+01
5.00000000e-01,-5.27503400e+01
5.20000000e-01,-3.95554700e+01
5.40000000e-01,-1.99832900e+01
5.60000000e-01,1.19518300e+01
5.80000000e-01,6.78524000e+01
6.00000000e-01,1.70428400e+02
6.20000000e-01,3.64627800e+02
6.40000000e-01,7.40227000e+02
6.60000000e-01,1.47791700e+03
6.80000000e-01,2.94353300e+03
7.00000000e-01,5.88118500e+03
7.20000000e-01,1.18088500e+04
7.40000000e-01,2.38248900e+04
7.60000000e-01,4.82303200e+04
7.80000000e-01,9.76924800e+04
8.00000000e-01,1.97003500e+05
8.20000000e-01,3.92050400e+05
8.40000000e-01,7.59090800e+05
8.60000000e-01,1.40265000e+06
