charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.81002900e+22
2.00000000e-02,5.72492700e+22
4.00000000e-02,5.71500500e+22
6.00000000e-02,5.70422000e+22
8.00000000e-02,5.69218400e+22
1.00000000e-01,5.67861000e+22
1.20000000e-01,5.66340600e+22
1.40000000e-01,5.64669500e+22
1.60000000e-01,5.62877900e+22
1.80000000e-01,5.61007300e+22
2.00000000e-01,5.59104000e+22
2.20000000e-01,5.57215100e+22
2.40000000e-01,5.55387800e+22
2.60000000e-01,5.53672800e+22
2.80000000e-01,5.52132000e+22
3.00000000e-01,5.50849000e+22
3.20000000e-01,5.49945100e+22
3.40000000e-01,5.49597000e+22
3.60000000e-01,5.50063100e+22
3.80000000e-01,5.51717500e+22
4.00000000e-01,5.55096800e+22
4.20000000e-01,5.60951800e+22
4.40000000e-01,5.70291200e+22
4.60000000e-01,5.84393200e+22
4.80000000e-01,6.04748700e+22
5.00000000e-01,6.32898000e+22
5.20000000e-01,6.70161200e+22
5.40000000e-01,7.17354700e+22
5.60000000e-01,7.74641100e+22
5.80000000e-01,8.41587700e+22
6.00000000e-01,9.17372100e+22
6.20000000e-01,1.00100700e+23
6.40000000e-01,1.09150800e+23
6.60000000e-01,1.18798200e+23
6.80000000e-01,1.28966900e+23
7.00000000e-01,1.39593500e+23
7.20000000e-01,1.50624900e+23
7.40000000e-01,1.62015300e+23
7.60000000e-01,1.73721300e+23
7.80000000e-01,1.85692700e+23
8.00000000e-01,1.97851900e+23
8.20000000e-01,2.10054700e+23
8.40000000e-01,2.22042900e+23
8.60000000e-01,2.33428200e+23
