charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.74027700e+22
2.00000000e-02,4.76121500e+22
4.00000000e-02,4.78132500e+22
6.00000000e-02,4.80068700e+22
8.00000000e-02,4.81944500e+22
1.00000000e-01,4.83776600e+22
1.20000000e-01,4.85576200e+22
1.40000000e-01,4.87336700e+22
1.60000000e-01,4.89022600e+22
1.80000000e-01,4.90567700e+22
2.00000000e-01,4.91892400e+22
2.20000000e-01,4.92936200e+22
2.40000000e-01,4.93687700e+22
2.60000000e-01,4.94202900e+22
2.80000000e-01,4.94606300e+22
3.00000000e-01,4.95077600e+22
3.20000000e-01,4.95837100e+22
3.40000000e-01,4.97139900e+22
3.60000000e-01,4.99285200e+22
3.80000000e-01,5.02646800e+22
4.00000000e-01,5.07727000e+22
4.20000000e-01,5.15228700e+22
4.40000000e-01,5.26120500e+22
4.60000000e-01,5.41665300e+22
4.80000000e-01,5.63371100e+22
5.00000000e-01,5.92821200e+22
5.20000000e-01,6.31386500e+22
5.40000000e-01,6.79921000e+22
5.60000000e-01,7.38598200e+22
5.80000000e-01,8.06973200e+22
6.00000000e-01,8.84197500e+22
6.20000000e-01,9.69255200e+22
6.40000000e-01,1.06113600e+23
6.60000000e-01,1.15892800e+23
6.80000000e-01,1.26186000e+23
7.00000000e-01,1.36929700e+23
7.20000000e-01,1.48073000e+23
7.40000000e-01,1.59574100e+23
7.60000000e-01,1.71396200e+23
7.80000000e-01,1.83498100e+23
8.00000000e-01,1.95812000e+23
8.20000000e-01,2.08201400e+23
8.40000000e-01,2.20405700e+23
8.60000000e-01,2.32026900e+23
