iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,-1.78574900e-12
2.00000000e-02,-1.76540400e-12
4.00000000e-02,-1.74571500e-12
6.00000000e-02,-1.72498800e-12
8.00000000e-02,-1.70322700e-12
1.00000000e-01,-1.68046500e-12
1.20000000e-01,-1.65673200e-12
1.40000000e-01,-1.63203400e-12
1.60000000e-01,-1.60634800e-12
1.80000000e-01,-1.57965800e-12
2.00000000e-01,-1.55193000e-12
2.20000000e-01,-1.52314600e-12
2.40000000e-01,-1.49330600e-12
2.60000000e-01,-1.46241600e-12
2.80000000e-01,-1.43046600e-12
3.00000000e-01,-1.39738100e-12
3.20000000e-01,-1.36297800e-12
3.40000000e-01,-1.32675900e-12
3.60000000e-01,-1.28784500e-12
3.80000000e-01,-1.24466900e-12
4.00000000e-01,-1.19488200e-12
4.20000000e-01,-1.13538400e-12
4.40000000e-01,-1.06306500e-12
4.60000000e-01,-9.75578800e-13
4.80000000e-01,-8.70935700e-13
5.00000000e-01,-7.44064900e-13
5.20000000e-01,-5.80278000e-13
5.40000000e-01,-3.45711400e-13
5.60000000e-01,2.86361400e-14
5.80000000e-01,6.78205700e-13
6.00000000e-01,1.86897000e-12
6.20000000e-01,4.12803800e-12
6.40000000e-01,8.50974700e-12
6.60000000e-01,1.71386000e-11
6.80000000e-01,3.43191600e-11
7.00000000e-01,6.88058300e-11
7.20000000e-01,1.38429400e-10
7.40000000e-01,2.79433600e-10
7.60000000e-01,5.64876900e-10
7.80000000e-01,1.13907300e-09
8.00000000e-01,2.27519300e-09
8.20000000e-01,4.44931600e-09
8.40000000e-01,8.37705900e-09
8.60000000e-01,1.49006300e-08
