charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,1.40711200e+23
2.00000000e-02,1.24894200e+23
4.00000000e-02,1.20906700e+23
6.00000000e-02,1.16916700e+23
8.00000000e-02,1.12927700e+23
1.00000000e-01,1.08947600e+23
1.20000000e-01,1.04985100e+23
1.40000000e-01,1.01049900e+23
1.60000000e-01,9.71532000e+22
1.80000000e-01,9.33081700e+22
2.00000000e-01,8.95306100e+22
2.20000000e-01,8.58397100e+22
2.40000000e-01,8.22591600e+22
2.60000000e-01,7.88183500e+22
2.80000000e-01,7.55538000e+22
3.00000000e-01,7.25102500e+22
3.20000000e-01,6.97405500e+22
3.40000000e-01,6.73020800e+22
3.60000000e-01,6.52469500e+22
3.80000000e-01,6.36101100e+22
4.00000000e-01,6.24211400e+22
4.20000000e-01,6.17385000e+22
4.40000000e-01,6.16457700e+22
4.60000000e-01,6.22350100e+22
4.80000000e-01,6.36095200e+22
5.00000000e-01,6.58825400e+22
5.20000000e-01,6.91589500e+22
5.40000000e-01,7.35067100e+22
5.60000000e-01,7.89357900e+22
5.80000000e-01,8.53975800e+22
6.00000000e-01,9.28023300e+22
6.20000000e-01,1.01042100e+23
6.40000000e-01,1.10009000e+23
6.60000000e-01,1.19605600e+23
6.80000000e-01,1.29749600e+23
7.00000000e-01,1.40374000e+23
7.20000000e-01,1.51426000e+23
7.40000000e-01,1.62864700e+23
7.60000000e-01,1.74661300e+23
7.80000000e-01,1.86801900e+23
8.00000000e-01,1.99292900e+23
8.20000000e-01,2.12166900e+23
8.40000000e-01,2.25486300e+23
8.60000000e-01,2.39356200e+23
8.80000000e-01,2.53955500e+23
