jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.79043500e+02
2.00000000e-02,-1.76983900e+02
4.00000000e-02,-1.74788400e+02
6.00000000e-02,-1.72433200e+02
8.00000000e-02,-1.69903600e+02
1.00000000e-01,-1.67186900e+02
1.20000000e-01,-1.64265600e+02
1.40000000e-01,-1.61114000e+02
1.60000000e-01,-1.57697200e+02
1.80000000e-01,-1.53974500e+02
2.00000000e-01,-1.49900400e+02
2.20000000e-01,-1.45444200e+02
2.40000000e-01,-1.40592600e+02
2.60000000e-01,-1.35358300e+02
2.80000000e-01,-1.29781200e+02
3.00000000e-01,-1.23926700e+02
3.20000000e-01,-1.17869500e+02
3.40000000e-01,-1.11688100e+02
3.60000000e-01,-1.05435500e+02
3.80000000e-01,-9.91240700e+01
4.00000000e-01,-9.27081700e+01
4.20000000e-01,-8.60781000e+01
4.40000000e-01,-7.90649600e+01
4.60000000e-01,-7.14353000e+01
4.80000000e-01,-6.27898000e+01
5.00000000e-01,-5.23227900e+01
5.20000000e-01,-3.83613100e+01
5.40000000e-01,-1.75743500e+01
5.60000000e-01,1.65171100e+01
5.80000000e-01,7.64930100e+01
6.00000000e-01,1.87015500e+02
6.20000000e-01,3.96945800e+02
6.40000000e-01,8.03977300e+02
6.60000000e-01,1.60487600e+03
6.80000000e-01,3.19827500e+03
7.00000000e-01,6.39533900e+03
7.20000000e-01,1.28512300e+04
7.40000000e-01,2.59440900e+04
7.60000000e-01,5.25404300e+04
7.80000000e-01,1.06425800e+05
8.00000000e-01,2.14503900e+05
8.20000000e-01,4.26301800e+05
8.40000000e-01,8.23379000e+05
8.60000000e-01,1.51609500e+06
