charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.31482600e+22
2.00000000e-02,5.33002700e+22
4.00000000e-02,5.34535800e+22
6.00000000e-02,5.35993300e+22
8.00000000e-02,5.37361800e+22
1.00000000e-01,5.38635200e+22
1.20000000e-01,5.39812700e+22
1.40000000e-01,5.40891500e+22
1.60000000e-01,5.41859100e+22
1.80000000e-01,5.42687300e+22
2.00000000e-01,5.43333700e+22
2.20000000e-01,5.43750600e+22
2.40000000e-01,5.43899100e+22
2.60000000e-01,5.43763800e+22
2.80000000e-01,5.43367900e+22
3.00000000e-01,5.42793800e+22
3.20000000e-01,5.42207000e+22
3.40000000e-01,5.41870500e+22
3.60000000e-01,5.42148700e+22
3.80000000e-01,5.43514900e+22
4.00000000e-01,5.46577300e+22
4.20000000e-01,5.52124500e+22
4.40000000e-01,5.61175500e+22
4.60000000e-01,5.75005700e+22
4.80000000e-01,5.95103600e+22
5.00000000e-01,6.23014000e+22
5.20000000e-01,6.60068800e+22
5.40000000e-01,7.07098400e+22
5.60000000e-01,7.64274300e+22
5.80000000e-01,8.31162600e+22
6.00000000e-01,9.06928300e+22
6.20000000e-01,9.90564800e+22
6.40000000e-01,1.08106600e+23
6.60000000e-01,1.17752400e+23
6.80000000e-01,1.27916600e+23
7.00000000e-01,1.38535700e+23
7.20000000e-01,1.49558000e+23
7.40000000e-01,1.60939200e+23
7.60000000e-01,1.72636900e+23
7.80000000e-01,1.84600500e+23
8.00000000e-01,1.96749100e+23
8.20000000e-01,2.08934300e+23
8.40000000e-01,2.20894800e+23
8.60000000e-01,2.32246900e+23
